Data;PM2.5;
2021-09-01;13.4;
2021-09-02;22.3;
2021-09-03;21.6;
2021-09-04;24.2;
2021-09-05;16.1;
2021-09-06;24.4;
2021-09-07;32.2;
2021-09-08;29.7;
2021-09-09;31.9;
2021-09-10;30.1;
2021-09-11;33.4;
2021-09-12;23.2;
2021-09-13;24.5;
2021-09-14;31.6;
2021-09-15;35.8;
2021-09-16;32.5;
2021-09-17;12.6;
2021-09-18;11.4;
2021-09-19;13.7;
2021-09-20;13.7;
2021-09-21;19.1;
2021-09-22;15.4;
2021-09-23;20.9;
2021-09-24;18.1;
2021-09-25;19.7;
2021-09-26;27.0;
2021-09-27;28.7;
2021-09-28;26.2;
2021-09-29;33.3;
2021-09-30;25.0;
