"CZAS","NO2 Dwutlenek azotu  [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","C6H6 Benzen  [µg/m3]","PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.03","64","151","57","758","951","0,6","35","16"
"02.03","72","278","135","1034","1556","1,1","43","19"
"03.03","64","244","117","905","1672","1,1","35","19"
"04.03","57","150","61","659","926","0,6","42","21"
"05.03","69","209","91","972","1271","1,5","67","45"
"06.03","82","254","112","994","1098","1,3","55","28"
"07.03","45","120","49","655","1057","0,5","34","16"
"08.03","51","161","71","780","1239","0,5","35","25"
"09.03","72","257","120","1089","1334","1,5","53","36"
"10.03","71","210","91","1042","1389","1,7","-","-"
"11.03","40","107","43","516","891","0,3","-","-"
"12.03","47","139","60","624","924","0,4","29","17"
"13.03","44","109","43","473","572","0,2","16","11"
"14.03","30","61","20","431","654","0,3","16","12"
"15.03","36","71","22","551","702","0,7","29","23"
"16.03","57","142","55","740","934","0,9","44","32"
"17.03","66","173","70","882","1103","1,1","65","48"
"18.03","67","173","69","971","1238","1,7","82","63"
"19.03","60","155","63","933","1401","1,7","77","60"
"20.03","49","138","58","619","798","0,5","55","39"
"21.03","25","52","18","426","598","0,2","18","14"
"22.03","18","35","11","382","408","0,1","14","11"
"23.03","34","79","30","472","543","0,2","28","20"
"24.03","40","87","31","498","570","0,4","30","21"
"25.03","38","75","24","485","560","0,4","40","27"
"26.03","53","112","38","598","666","0,6","46","33"
"27.03","60","132","47","672","752","0,8","59","41"
"28.03","62","117","37","785","916","0,9","72","53"
"29.03","27","41","9","707","1229","1,4","90","73"
"30.03","40","84","29","480","606","0,3","20","14"
"31.03","47","107","39","720","943","0,9","51","44"
"wartość średnia","51","136","55","705","-","0,8","44","30"
"minimum","18","35","9","382","408","0,1","14","11"
"maksimum","82","278","135","1089","1672","1,7","90","73"
